datetime,date,aqi,pm25,pm10,co,no,no2,o3,so2,nh3,source,lat,lon
2021-01-01 00:00:00+00:00,2021-01-01,5.0,74.14,92.81,1121.52,0.0,21.76,82.97,15.97,17.99,OpenWeather,24.8607,67.0011
2021-01-01 01:00:00+00:00,2021-01-01,5.0,82.67,102.38,1281.74,0.0,27.42,75.1,17.41,20.27,OpenWeather,24.8607,67.0011
2021-01-01 02:00:00+00:00,2021-01-01,5.0,114.04,137.95,1895.9,0.0,49.35,56.51,21.94,29.39,OpenWeather,24.8607,67.0011
2021-01-01 03:00:00+00:00,2021-01-01,5.0,190.95,225.91,3417.97,5.09,104.19,12.88,31.47,50.16,OpenWeather,24.8607,67.0011
2021-01-01 04:00:00+00:00,2021-01-01,5.0,243.25,289.03,4859.92,46.94,115.16,10.28,40.05,64.85,OpenWeather,24.8607,67.0011
2021-01-01 05:00:00+00:00,2021-01-01,5.0,256.77,307.2,5233.76,64.37,112.41,22.53,43.87,68.9,OpenWeather,24.8607,67.0011
2021-01-01 06:00:00+00:00,2021-01-01,5.0,266.68,317.8,5020.14,49.62,116.53,43.99,47.21,68.9,OpenWeather,24.8607,67.0011
2021-01-01 07:00:00+00:00,2021-01-01,5.0,83.25,97.93,1548.77,7.49,42.5,121.59,33.38,20.01,OpenWeather,24.8607,67.0011
2021-01-01 08:00:00+00:00,2021-01-01,5.0,55.66,65.27,1081.47,4.41,27.76,137.33,26.46,13.3,OpenWeather,24.8607,67.0011
2021-01-01 09:00:00+00:00,2021-01-01,4.0,45.0,53.42,934.6,3.58,24.33,141.62,23.13,11.27,OpenWeather,24.8607,67.0011
2021-01-01 10:00:00+00:00,2021-01-01,4.0,34.2,41.46,801.09,2.85,21.42,138.76,19.07,9.37,OpenWeather,24.8607,67.0011
2021-01-01 11:00:00+00:00,2021-01-01,4.0,27.09,33.83,734.33,2.24,21.08,131.61,17.64,8.36,OpenWeather,24.8607,67.0011
2021-01-01 12:00:00+00:00,2021-01-01,4.0,26.0,33.35,734.33,1.36,24.33,121.59,20.74,7.98,OpenWeather,24.8607,67.0011
2021-01-01 13:00:00+00:00,2021-01-01,5.0,65.71,83.51,2002.72,0.79,89.11,56.51,33.38,21.53,OpenWeather,24.8607,67.0011
2021-01-01 14:00:00+00:00,2021-01-01,5.0,138.11,169.14,3898.62,16.76,146.69,2.73,45.78,43.06,OpenWeather,24.8607,67.0011
2021-01-01 15:00:00+00:00,2021-01-01,5.0,205.41,246.69,4913.33,44.7,131.61,0.0,50.07,60.8,OpenWeather,24.8607,67.0011
2021-01-01 16:00:00+00:00,2021-01-01,5.0,345.63,410.42,6942.75,90.3,123.38,0.0,60.08,95.25,OpenWeather,24.8607,67.0011
2021-01-01 17:00:00+00:00,2021-01-01,5.0,546.07,642.39,9826.66,151.99,124.75,0.0,75.34,137.81,OpenWeather,24.8607,67.0011
2021-01-01 18:00:00+00:00,2021-01-01,5.0,648.35,767.23,11215.21,177.03,128.87,0.0,84.88,158.07,OpenWeather,24.8607,67.0011
2021-01-01 19:00:00+00:00,2021-01-01,5.0,655.47,785.64,11535.65,184.18,134.35,0.0,83.92,156.04,OpenWeather,24.8607,67.0011
2021-01-01 20:00:00+00:00,2021-01-01,5.0,509.28,614.07,9719.85,155.57,126.12,0.0,64.85,114.5,OpenWeather,24.8607,67.0011
2021-01-01 21:00:00+00:00,2021-01-01,5.0,296.85,364.86,6088.26,84.04,100.08,0.0,40.53,67.89,OpenWeather,24.8607,67.0011
2021-01-01 22:00:00+00:00,2021-01-01,5.0,185.17,232.46,3685.0,29.95,77.46,0.04,27.18,46.61,OpenWeather,24.8607,67.0011
2021-01-01 23:00:00+00:00,2021-01-01,5.0,151.88,191.61,2750.4,8.72,63.75,1.21,22.89,39.01,OpenWeather,24.8607,67.0011
2021-01-02 00:00:00+00:00,2021-01-02,5.0,141.32,177.8,2456.67,1.37,54.84,9.12,21.22,34.96,OpenWeather,24.8607,67.0011
2021-01-02 01:00:00+00:00,2021-01-02,5.0,110.64,140.36,2002.72,0.03,43.18,29.33,19.07,27.87,OpenWeather,24.8607,67.0011
2021-01-02 02:00:00+00:00,2021-01-02,5.0,132.1,162.86,2456.67,0.5,63.06,18.42,22.17,35.47,OpenWeather,24.8607,67.0011
2021-01-02 03:00:00+00:00,2021-01-02,5.0,230.07,272.48,4432.68,32.63,98.71,0.62,32.42,59.78,OpenWeather,24.8607,67.0011
2021-01-02 04:00:00+00:00,2021-01-02,5.0,327.87,384.83,6835.94,101.92,115.16,5.36,42.92,82.08,OpenWeather,24.8607,67.0011
2021-01-02 05:00:00+00:00,2021-01-02,5.0,374.36,440.04,8010.86,128.75,134.35,13.59,51.02,91.2,OpenWeather,24.8607,67.0011
2021-01-02 06:00:00+00:00,2021-01-02,5.0,386.9,455.02,7690.43,93.88,163.14,33.26,55.79,90.18,OpenWeather,24.8607,67.0011
2021-01-02 07:00:00+00:00,2021-01-02,5.0,100.84,122.44,2082.82,11.4,59.63,114.44,39.1,24.57,OpenWeather,24.8607,67.0011
2021-01-02 08:00:00+00:00,2021-01-02,5.0,67.39,81.48,1348.5,5.64,36.33,140.19,31.95,16.21,OpenWeather,24.8607,67.0011
2021-01-02 09:00:00+00:00,2021-01-02,5.0,53.49,64.44,1081.47,3.91,27.76,148.77,26.23,13.3,OpenWeather,24.8607,67.0011
2021-01-02 10:00:00+00:00,2021-01-02,5.0,67.65,83.43,1468.66,6.37,45.24,133.04,25.99,16.97,OpenWeather,24.8607,67.0011
2021-01-02 11:00:00+00:00,2021-01-02,5.0,88.55,111.9,2082.82,10.17,74.71,103.0,25.75,22.55,OpenWeather,24.8607,67.0011
2021-01-02 12:00:00+00:00,2021-01-02,5.0,82.51,108.5,2216.34,8.83,87.74,69.38,21.7,23.31,OpenWeather,24.8607,67.0011
2021-01-02 13:00:00+00:00,2021-01-02,5.0,86.44,114.83,2616.88,4.92,112.41,19.85,22.41,27.11,OpenWeather,24.8607,67.0011
2021-01-02 14:00:00+00:00,2021-01-02,5.0,122.97,156.96,3524.78,19.0,122.01,0.37,30.99,37.49,OpenWeather,24.8607,67.0011
2021-01-02 15:00:00+00:00,2021-01-02,5.0,172.05,213.26,4165.65,29.5,122.01,0.02,41.01,49.65,OpenWeather,24.8607,67.0011
2021-01-02 16:00:00+00:00,2021-01-02,5.0,277.99,334.9,5661.01,55.43,127.49,0.0,55.79,79.04,OpenWeather,24.8607,67.0011
2021-01-02 17:00:00+00:00,2021-01-02,5.0,468.27,551.22,8544.92,110.87,138.46,0.0,75.34,127.67,OpenWeather,24.8607,67.0011
2021-01-02 18:00:00+00:00,2021-01-02,5.0,571.29,673.53,10040.28,135.9,141.2,0.0,82.97,149.97,OpenWeather,24.8607,67.0011
2021-01-02 19:00:00+00:00,2021-01-02,5.0,540.62,647.63,9613.04,132.32,131.61,0.0,74.39,137.81,OpenWeather,24.8607,67.0011
2021-01-02 20:00:00+00:00,2021-01-02,5.0,389.85,475.78,7370.0,101.92,112.41,0.0,52.93,94.24,OpenWeather,24.8607,67.0011
2021-01-02 21:00:00+00:00,2021-01-02,5.0,243.56,306.45,4806.52,54.09,89.11,0.0,34.33,58.77,OpenWeather,24.8607,67.0011
2021-01-02 22:00:00+00:00,2021-01-02,5.0,179.83,230.27,3337.86,24.14,68.55,0.04,25.51,43.57,OpenWeather,24.8607,67.0011
2021-01-02 23:00:00+00:00,2021-01-02,5.0,163.18,206.86,2777.1,11.06,56.89,0.48,22.41,37.49,OpenWeather,24.8607,67.0011
2021-01-03 00:00:00+00:00,2021-01-03,5.0,153.09,191.54,2510.07,4.02,53.47,3.49,21.46,34.45,OpenWeather,24.8607,67.0011
2021-01-03 01:00:00+00:00,2021-01-03,5.0,110.45,139.35,1869.2,0.13,42.16,23.6,19.55,26.85,OpenWeather,24.8607,67.0011
2021-01-03 02:00:00+00:00,2021-01-03,5.0,125.49,154.97,2269.75,0.19,58.26,22.17,22.17,33.95,OpenWeather,24.8607,67.0011
2021-01-03 03:00:00+00:00,2021-01-03,5.0,212.03,252.46,4058.84,21.91,98.71,1.45,31.47,56.74,OpenWeather,24.8607,67.0011
2021-01-03 04:00:00+00:00,2021-01-03,5.0,293.73,347.78,6141.66,76.89,119.27,6.97,41.01,76.0,OpenWeather,24.8607,67.0011
2021-01-03 05:00:00+00:00,2021-01-03,5.0,324.62,388.21,6942.75,100.14,130.24,16.99,47.21,82.08,OpenWeather,24.8607,67.0011
2021-01-03 06:00:00+00:00,2021-01-03,5.0,336.06,404.77,6729.13,75.1,146.69,36.84,51.5,82.08,OpenWeather,24.8607,67.0011
2021-01-03 07:00:00+00:00,2021-01-03,5.0,63.08,76.42,1281.74,5.59,33.59,125.89,26.7,15.71,OpenWeather,24.8607,67.0011
2021-01-03 08:00:00+00:00,2021-01-03,5.0,55.28,65.58,988.01,3.47,23.65,144.48,23.84,12.16,OpenWeather,24.8607,67.0011
2021-01-03 09:00:00+00:00,2021-01-03,5.0,63.37,74.66,1014.71,3.07,24.33,160.22,25.03,12.03,OpenWeather,24.8607,67.0011
2021-01-03 10:00:00+00:00,2021-01-03,5.0,69.82,81.87,1014.71,2.63,26.05,171.66,25.03,11.02,OpenWeather,24.8607,67.0011
2021-01-03 11:00:00+00:00,2021-01-03,5.0,63.41,77.17,881.2,1.84,23.99,165.94,19.79,8.61,OpenWeather,24.8607,67.0011
2021-01-03 12:00:00+00:00,2021-01-03,4.0,42.15,59.6,654.22,0.89,18.85,137.33,11.68,6.08,OpenWeather,24.8607,67.0011
2021-01-03 13:00:00+00:00,2021-01-03,4.0,30.39,49.64,580.79,0.15,19.54,105.86,8.11,5.19,OpenWeather,24.8607,67.0011
2021-01-03 14:00:00+00:00,2021-01-03,4.0,29.37,48.95,594.14,0.0,20.05,95.84,8.23,5.57,OpenWeather,24.8607,67.0011
2021-01-03 15:00:00+00:00,2021-01-03,4.0,31.25,51.23,580.79,0.0,16.97,98.71,9.18,5.95,OpenWeather,24.8607,67.0011
2021-01-03 16:00:00+00:00,2021-01-03,5.0,67.72,96.14,1335.14,0.0,43.53,69.38,14.42,18.24,OpenWeather,24.8607,67.0011
2021-01-03 17:00:00+00:00,2021-01-03,5.0,143.77,184.3,2670.29,0.27,85.68,28.61,22.65,38.51,OpenWeather,24.8607,67.0011
2021-01-03 18:00:00+00:00,2021-01-03,5.0,258.65,313.82,4486.08,12.41,116.53,2.39,33.85,64.85,OpenWeather,24.8607,67.0011
2021-01-03 19:00:00+00:00,2021-01-03,5.0,393.44,466.5,6729.13,62.59,116.53,0.0,44.82,92.21,OpenWeather,24.8607,67.0011
2021-01-03 20:00:00+00:00,2021-01-03,5.0,427.76,504.94,7583.62,101.92,105.56,0.0,44.82,91.2,OpenWeather,24.8607,67.0011
2021-01-03 21:00:00+00:00,2021-01-03,5.0,351.97,424.43,6408.69,88.51,94.59,0.0,40.05,76.0,OpenWeather,24.8607,67.0011
2021-01-03 22:00:00+00:00,2021-01-03,5.0,265.26,332.59,4646.3,47.83,85.0,0.0,35.29,63.33,OpenWeather,24.8607,67.0011
2021-01-03 23:00:00+00:00,2021-01-03,5.0,232.83,296.66,3738.4,21.46,77.46,0.09,30.99,56.74,OpenWeather,24.8607,67.0011
2021-01-04 00:00:00+00:00,2021-01-04,5.0,221.29,280.0,3337.86,6.37,75.4,3.13,28.37,51.17,OpenWeather,24.8607,67.0011
2021-01-04 01:00:00+00:00,2021-01-04,5.0,166.9,210.35,2429.96,0.05,54.15,32.54,25.03,36.99,OpenWeather,24.8607,67.0011
2021-01-04 02:00:00+00:00,2021-01-04,5.0,197.14,240.48,2964.02,0.13,74.03,27.18,28.13,44.58,OpenWeather,24.8607,67.0011
2021-01-04 03:00:00+00:00,2021-01-04,5.0,319.82,378.4,5340.58,30.4,123.38,1.0,40.05,73.97,OpenWeather,24.8607,67.0011
2021-01-04 04:00:00+00:00,2021-01-04,5.0,451.34,532.04,8331.3,110.87,143.95,4.78,52.93,103.35,OpenWeather,24.8607,67.0011
2021-01-04 05:00:00+00:00,2021-01-04,5.0,521.8,620.42,10040.28,153.78,163.14,12.88,62.94,116.53,OpenWeather,24.8607,67.0011
2021-01-04 06:00:00+00:00,2021-01-04,5.0,567.24,677.61,10147.09,121.59,208.38,31.83,70.57,118.55,OpenWeather,24.8607,67.0011
2021-01-04 07:00:00+00:00,2021-01-04,5.0,337.88,405.29,5767.82,35.76,156.28,89.41,66.76,67.89,OpenWeather,24.8607,67.0011
2021-01-04 08:00:00+00:00,2021-01-04,5.0,383.59,455.54,6088.26,28.61,171.36,123.02,73.43,71.94,OpenWeather,24.8607,67.0011
2021-01-04 09:00:00+00:00,2021-01-04,5.0,485.47,573.61,7156.37,26.15,213.86,154.5,84.88,85.12,OpenWeather,24.8607,67.0011
2021-01-04 10:00:00+00:00,2021-01-04,5.0,537.87,627.79,7263.18,21.01,241.28,178.81,88.69,84.1,OpenWeather,24.8607,67.0011
2021-01-04 11:00:00+00:00,2021-01-04,5.0,414.03,479.54,5180.36,11.85,194.67,171.66,63.9,55.73,OpenWeather,24.8607,67.0011
2021-01-04 12:00:00+00:00,2021-01-04,5.0,209.71,256.0,2830.51,3.86,112.41,130.18,33.38,29.39,OpenWeather,24.8607,67.0011
2021-01-04 13:00:00+00:00,2021-01-04,5.0,106.46,147.08,2002.72,0.41,85.68,68.67,20.98,20.27,OpenWeather,24.8607,67.0011
2021-01-04 14:00:00+00:00,2021-01-04,5.0,100.5,135.07,2269.75,0.28,98.71,26.46,22.41,24.32,OpenWeather,24.8607,67.0011
2021-01-04 15:00:00+00:00,2021-01-04,5.0,110.73,141.84,2323.15,0.21,90.48,26.46,25.75,27.87,OpenWeather,24.8607,67.0011
2021-01-04 16:00:00+00:00,2021-01-04,5.0,194.5,236.16,3738.4,13.41,109.67,6.8,34.81,50.16,OpenWeather,24.8607,67.0011
2021-01-04 17:00:00+00:00,2021-01-04,5.0,340.67,399.28,5981.45,58.12,111.04,0.0,46.73,82.08,OpenWeather,24.8607,67.0011
2021-01-04 18:00:00+00:00,2021-01-04,5.0,433.63,500.2,7263.18,89.41,102.82,0.0,52.45,98.29,OpenWeather,24.8607,67.0011
2021-01-04 19:00:00+00:00,2021-01-04,5.0,403.09,466.24,6835.94,85.83,100.08,0.0,48.16,88.16,OpenWeather,24.8607,67.0011
2021-01-04 20:00:00+00:00,2021-01-04,5.0,280.28,329.34,5073.55,54.09,94.59,0.0,35.76,58.26,OpenWeather,24.8607,67.0011
2021-01-04 21:00:00+00:00,2021-01-04,5.0,191.53,230.25,3417.97,22.8,77.46,0.05,26.94,40.03,OpenWeather,24.8607,67.0011
2021-01-04 22:00:00+00:00,2021-01-04,5.0,156.16,188.71,2510.07,5.03,60.32,4.2,22.89,32.93,OpenWeather,24.8607,67.0011
